"Código","Unidade Territorial","UF","Referência","Quantidade de famílias beneficiárias do Programa Bolsa Família em situação de trabalho infantil","Quantidade de pessoas beneficiárias do Programa Bolsa Família em situação de trabalho infantil"
"411300","JUSSARA","PR","08/2026","0","0"
"410850","GENERAL CARNEIRO","PR","08/2026","1","1"
"411820","PARANAGUÁ","PR","08/2026","0","0"
"412785","TRÊS BARRAS DO PARANÁ","PR","08/2026","1","1"
"412175","RESERVA DO IGUAÇU","PR","08/2026","25","37"
"410420","CAMPO LARGO","PR","08/2026","1","1"
"412570","SÃO MIGUEL DO IGUAÇU","PR","08/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","08/2026","1","1"
"411440","MANGUEIRINHA","PR","08/2026","0","0"
"411573","MATO RICO","PR","08/2026","1","1"
"411450","MANOEL RIBAS","PR","08/2026","2","3"
"411520","MARINGÁ","PR","08/2026","1","1"
"411725","NOVA PRATA DO IGUAÇU","PR","08/2026","0","0"
"411930","PINHÃO","PR","08/2026","1","1"
"410430","CAMPO MOURÃO","PR","08/2026","0","0"
"411130","ITAÚNA DO SUL","PR","08/2026","0","0"
"410440","CÂNDIDO DE ABREU","PR","08/2026","0","0"
"410960","GUARATUBA","PR","08/2026","0","0"
"412627","SAUDADE DO IGUAÇU","PR","08/2026","0","0"
"411750","PAIÇANDU","PR","08/2026","0","0"
"411570","MATINHOS","PR","08/2026","1","1"
"410840","FRANCISCO BELTRÃO","PR","08/2026","1","1"
"411370","LONDRINA","PR","08/2026","2","2"
"412710","TELÊMACO BORBA","PR","08/2026","1","1"
"410765","FAZENDA RIO GRANDE","PR","08/2026","3","5"
"410040","ALMIRANTE TAMANDARÉ","PR","08/2026","1","1"
"412667","TAMARANA","PR","08/2026","0","0"
"412810","UMUARAMA","PR","08/2026","1","1"
"411950","PIRAQUARA","PR","08/2026","3","6"
"412170","RESERVA","PR","08/2026","0","0"
"410550","CIANORTE","PR","08/2026","0","0"
"412125","RAMILÂNDIA","PR","08/2026","1","1"
"411770","PALMEIRA","PR","08/2026","1","1"
"412625","SARANDI","PR","08/2026","0","0"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","08/2026","3","4"
"412770","TOLEDO","PR","08/2026","0","0"
"412402","SANTA TEREZA DO OESTE","PR","08/2026","0","0"
"411585","MERCEDES","PR","08/2026","0","0"
"412265","ROSÁRIO DO IVAÍ","PR","08/2026","0","0"
"411915","PINHAIS","PR","08/2026","0","0"
"410230","BALSA NOVA","PR","08/2026","0","0"
"412240","ROLÂNDIA","PR","08/2026","1","1"
"410020","ADRIANÓPOLIS","PR","08/2026","4","4"
"412800","UBIRATÃ","PR","08/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","08/2026","11","17"
"411990","PONTA GROSSA","PR","08/2026","9","14"
"410560","CIDADE GAÚCHA","PR","08/2026","0","0"
"411010","IMBITUVA","PR","08/2026","1","1"
"411545","MARQUINHO","PR","08/2026","3","3"
"411780","PALMITAL","PR","08/2026","0","0"
"410712","DIAMANTE DO SUL","PR","08/2026","0","0"
"410180","ARAUCÁRIA","PR","08/2026","1","1"
"411080","IRETAMA","PR","08/2026","0","0"
"410970","IBAITI","PR","08/2026","1","1"
"410480","CASCAVEL","PR","08/2026","7","8"
"412100","QUERÊNCIA DO NORTE","PR","08/2026","0","0"
"411960","PITANGA","PR","08/2026","1","1"
"412550","SÃO JOSÉ DOS PINHAIS","PR","08/2026","11","16"
"411210","JANDAIA DO SUL","PR","08/2026","1","1"
"410140","APUCARANA","PR","08/2026","3","3"
"410690","CURITIBA","PR","08/2026","7","10"
"412060","PRUDENTÓPOLIS","PR","08/2026","1","1"
"412520","SÃO JORGE DOESTE","PR","08/2026","1","1"
"410940","GUARAPUAVA","PR","08/2026","2","4"
"411250","JARDIM ALEGRE","PR","08/2026","0","0"
"410720","DOIS VIZINHOS","PR","08/2026","1","1"
"411250","JARDIM ALEGRE","PR","07/2026","0","0"
"410720","DOIS VIZINHOS","PR","07/2026","1","1"
"410480","CASCAVEL","PR","07/2026","7","8"
"412770","TOLEDO","PR","07/2026","0","0"
"410550","CIANORTE","PR","07/2026","0","0"
"412625","SARANDI","PR","07/2026","0","0"
"411370","LONDRINA","PR","07/2026","2","2"
"410140","APUCARANA","PR","07/2026","1","1"
"411990","PONTA GROSSA","PR","07/2026","9","14"
"411570","MATINHOS","PR","07/2026","1","1"
"410850","GENERAL CARNEIRO","PR","07/2026","1","1"
"411440","MANGUEIRINHA","PR","07/2026","0","0"
"412125","RAMILÂNDIA","PR","07/2026","1","1"
"412550","SÃO JOSÉ DOS PINHAIS","PR","07/2026","11","16"
"411915","PINHAIS","PR","07/2026","0","0"
"411960","PITANGA","PR","07/2026","1","1"
"411080","IRETAMA","PR","07/2026","0","0"
"410020","ADRIANÓPOLIS","PR","07/2026","5","5"
"412710","TELÊMACO BORBA","PR","07/2026","1","1"
"410230","BALSA NOVA","PR","07/2026","0","0"
"412100","QUERÊNCIA DO NORTE","PR","07/2026","0","0"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","07/2026","3","5"
"411573","MATO RICO","PR","07/2026","1","1"
"412060","PRUDENTÓPOLIS","PR","07/2026","1","1"
"412570","SÃO MIGUEL DO IGUAÇU","PR","07/2026","0","0"
"412520","SÃO JORGE DOESTE","PR","07/2026","1","1"
"412175","RESERVA DO IGUAÇU","PR","07/2026","25","37"
"410420","CAMPO LARGO","PR","07/2026","1","1"
"411300","JUSSARA","PR","07/2026","0","0"
"411725","NOVA PRATA DO IGUAÇU","PR","07/2026","0","0"
"410840","FRANCISCO BELTRÃO","PR","07/2026","1","1"
"410040","ALMIRANTE TAMANDARÉ","PR","07/2026","1","1"
"410430","CAMPO MOURÃO","PR","07/2026","0","0"
"411950","PIRAQUARA","PR","07/2026","3","6"
"412170","RESERVA","PR","07/2026","0","0"
"410960","GUARATUBA","PR","07/2026","0","0"
"411770","PALMEIRA","PR","07/2026","1","1"
"410765","FAZENDA RIO GRANDE","PR","07/2026","3","4"
"412667","TAMARANA","PR","07/2026","0","0"
"410440","CÂNDIDO DE ABREU","PR","07/2026","0","0"
"411130","ITAÚNA DO SUL","PR","07/2026","0","0"
"411520","MARINGÁ","PR","07/2026","1","1"
"412410","SANTO ANTÔNIO DA PLATINA","PR","07/2026","1","1"
"410180","ARAUCÁRIA","PR","07/2026","1","1"
"411820","PARANAGUÁ","PR","07/2026","0","0"
"410712","DIAMANTE DO SUL","PR","07/2026","0","0"
"411780","PALMITAL","PR","07/2026","0","0"
"411010","IMBITUVA","PR","07/2026","1","1"
"412810","UMUARAMA","PR","07/2026","2","2"
"411180","JACAREZINHO","PR","07/2026","0","0"
"411450","MANOEL RIBAS","PR","07/2026","3","5"
"411545","MARQUINHO","PR","07/2026","3","3"
"410970","IBAITI","PR","07/2026","1","1"
"410690","CURITIBA","PR","07/2026","8","11"
"411930","PINHÃO","PR","07/2026","1","1"
"412627","SAUDADE DO IGUAÇU","PR","07/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","07/2026","11","17"
"412800","UBIRATÃ","PR","07/2026","0","0"
"410940","GUARAPUAVA","PR","07/2026","2","4"
"411585","MERCEDES","PR","07/2026","0","0"
"411350","LOANDA","PR","07/2026","0","0"
"411570","MATINHOS","PR","06/2026","1","1"
"412800","UBIRATÃ","PR","06/2026","0","0"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","06/2026","3","5"
"412060","PRUDENTÓPOLIS","PR","06/2026","1","1"
"411210","JANDAIA DO SUL","PR","06/2026","0","0"
"410140","APUCARANA","PR","06/2026","1","1"
"412100","QUERÊNCIA DO NORTE","PR","06/2026","0","0"
"410440","CÂNDIDO DE ABREU","PR","06/2026","0","0"
"410020","ADRIANÓPOLIS","PR","06/2026","5","5"
"412710","TELÊMACO BORBA","PR","06/2026","1","1"
"410712","DIAMANTE DO SUL","PR","06/2026","0","0"
"412570","SÃO MIGUEL DO IGUAÇU","PR","06/2026","0","0"
"412667","TAMARANA","PR","06/2026","0","0"
"411780","PALMITAL","PR","06/2026","0","0"
"410230","BALSA NOVA","PR","06/2026","0","0"
"411410","MANDAGUAÇU","PR","06/2026","1","1"
"411010","IMBITUVA","PR","06/2026","1","1"
"411370","LONDRINA","PR","06/2026","2","2"
"410480","CASCAVEL","PR","06/2026","5","6"
"412550","SÃO JOSÉ DOS PINHAIS","PR","06/2026","13","18"
"412175","RESERVA DO IGUAÇU","PR","06/2026","30","43"
"412125","RAMILÂNDIA","PR","06/2026","1","1"
"411180","JACAREZINHO","PR","06/2026","0","0"
"410395","CAMPINA DO SIMÃO","PR","06/2026","1","1"
"411440","MANGUEIRINHA","PR","06/2026","1","1"
"410550","CIANORTE","PR","06/2026","0","0"
"411585","MERCEDES","PR","06/2026","0","0"
"411450","MANOEL RIBAS","PR","06/2026","3","5"
"411573","MATO RICO","PR","06/2026","1","1"
"410970","IBAITI","PR","06/2026","1","1"
"410940","GUARAPUAVA","PR","06/2026","2","4"
"410690","CURITIBA","PR","06/2026","10","15"
"412160","RENASCENÇA","PR","06/2026","0","0"
"411990","PONTA GROSSA","PR","06/2026","9","14"
"412810","UMUARAMA","PR","06/2026","2","2"
"412635","SERRANÓPOLIS DO IGUAÇU","PR","06/2026","1","1"
"410850","GENERAL CARNEIRO","PR","06/2026","1","1"
"411080","IRETAMA","PR","06/2026","0","0"
"412090","QUEDAS DO IGUAÇU","PR","06/2026","1","1"
"411350","LOANDA","PR","06/2026","0","0"
"411300","JUSSARA","PR","06/2026","0","0"
"411950","PIRAQUARA","PR","06/2026","3","6"
"410765","FAZENDA RIO GRANDE","PR","06/2026","3","4"
"412625","SARANDI","PR","06/2026","0","0"
"410430","CAMPO MOURÃO","PR","06/2026","0","0"
"412627","SAUDADE DO IGUAÇU","PR","06/2026","0","0"
"410840","FRANCISCO BELTRÃO","PR","06/2026","1","1"
"410040","ALMIRANTE TAMANDARÉ","PR","06/2026","1","1"
"411930","PINHÃO","PR","06/2026","1","1"
"411130","ITAÚNA DO SUL","PR","06/2026","0","0"
"411545","MARQUINHO","PR","06/2026","3","3"
"411725","NOVA PRATA DO IGUAÇU","PR","06/2026","0","0"
"411520","MARINGÁ","PR","06/2026","1","1"
"410830","FOZ DO IGUAÇU","PR","06/2026","14","20"
"410650","CORONEL VIVIDA","PR","06/2026","1","1"
"410180","ARAUCÁRIA","PR","06/2026","1","1"
"410960","GUARATUBA","PR","06/2026","0","0"
"412520","SÃO JORGE DOESTE","PR","06/2026","1","1"
"411915","PINHAIS","PR","06/2026","1","1"
"410420","CAMPO LARGO","PR","06/2026","1","1"
"410510","CENTENÁRIO DO SUL","PR","06/2026","0","0"
"411575","MAUÁ DA SERRA","PR","06/2026","1","1"
"411820","PARANAGUÁ","PR","06/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","06/2026","1","1"
"411250","JARDIM ALEGRE","PR","06/2026","0","0"
"411680","NOVA CANTU","PR","05/2026","1","1"
"411270","JATAIZINHO","PR","05/2026","0","0"
"411250","JARDIM ALEGRE","PR","05/2026","2","2"
"412175","RESERVA DO IGUAÇU","PR","05/2026","30","43"
"411545","MARQUINHO","PR","05/2026","3","3"
"410440","CÂNDIDO DE ABREU","PR","05/2026","0","0"
"410040","ALMIRANTE TAMANDARÉ","PR","05/2026","1","1"
"412550","SÃO JOSÉ DOS PINHAIS","PR","05/2026","13","18"
"410180","ARAUCÁRIA","PR","05/2026","1","1"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","05/2026","3","5"
"410480","CASCAVEL","PR","05/2026","5","6"
"411840","PARANAVAÍ","PR","05/2026","1","1"
"411560","MATELÂNDIA","PR","05/2026","0","0"
"412090","QUEDAS DO IGUAÇU","PR","05/2026","1","1"
"411080","IRETAMA","PR","05/2026","0","0"
"412100","QUERÊNCIA DO NORTE","PR","05/2026","0","0"
"410305","BOA VISTA DA APARECIDA","PR","05/2026","1","1"
"412060","PRUDENTÓPOLIS","PR","05/2026","1","1"
"410420","CAMPO LARGO","PR","05/2026","1","1"
"412520","SÃO JORGE DOESTE","PR","05/2026","1","1"
"410840","FRANCISCO BELTRÃO","PR","05/2026","1","1"
"411725","NOVA PRATA DO IGUAÇU","PR","05/2026","0","0"
"411950","PIRAQUARA","PR","05/2026","3","6"
"410765","FAZENDA RIO GRANDE","PR","05/2026","3","4"
"411300","JUSSARA","PR","05/2026","0","0"
"411130","ITAÚNA DO SUL","PR","05/2026","0","0"
"411520","MARINGÁ","PR","05/2026","1","1"
"410650","CORONEL VIVIDA","PR","05/2026","1","1"
"411820","PARANAGUÁ","PR","05/2026","0","0"
"412690","TAPIRA","PR","05/2026","1","1"
"411210","JANDAIA DO SUL","PR","05/2026","0","0"
"410712","DIAMANTE DO SUL","PR","05/2026","0","0"
"411010","IMBITUVA","PR","05/2026","1","1"
"411450","MANOEL RIBAS","PR","05/2026","3","5"
"410690","CURITIBA","PR","05/2026","10","15"
"412800","UBIRATÃ","PR","05/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","05/2026","15","21"
"412627","SAUDADE DO IGUAÇU","PR","05/2026","0","0"
"412810","UMUARAMA","PR","05/2026","2","2"
"410395","CAMPINA DO SIMÃO","PR","05/2026","1","1"
"411915","PINHAIS","PR","05/2026","1","1"
"412635","SERRANÓPOLIS DO IGUAÇU","PR","05/2026","1","1"
"410550","CIANORTE","PR","05/2026","0","0"
"412160","RENASCENÇA","PR","05/2026","0","0"
"412710","TELÊMACO BORBA","PR","05/2026","1","1"
"411990","PONTA GROSSA","PR","05/2026","8","13"
"411570","MATINHOS","PR","05/2026","1","1"
"410850","GENERAL CARNEIRO","PR","05/2026","1","1"
"412125","RAMILÂNDIA","PR","05/2026","1","1"
"411960","PITANGA","PR","05/2026","0","0"
"411370","LONDRINA","PR","05/2026","2","2"
"410020","ADRIANÓPOLIS","PR","05/2026","5","5"
"410230","BALSA NOVA","PR","05/2026","0","0"
"412625","SARANDI","PR","05/2026","0","0"
"411350","LOANDA","PR","05/2026","0","0"
"411585","MERCEDES","PR","05/2026","0","0"
"411180","JACAREZINHO","PR","05/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","05/2026","1","1"
"411780","PALMITAL","PR","05/2026","0","0"
"410510","CENTENÁRIO DO SUL","PR","05/2026","0","0"
"410430","CAMPO MOURÃO","PR","05/2026","0","0"
"410960","GUARATUBA","PR","05/2026","0","0"
"412667","TAMARANA","PR","05/2026","0","0"
"410940","GUARAPUAVA","PR","05/2026","2","4"
"411410","MANDAGUAÇU","PR","05/2026","1","1"
"411573","MATO RICO","PR","05/2026","1","1"
"410140","APUCARANA","PR","05/2026","1","1"
"410940","GUARAPUAVA","PR","04/2026","2","4"
"412160","RENASCENÇA","PR","04/2026","0","0"
"411915","PINHAIS","PR","04/2026","2","2"
"412810","UMUARAMA","PR","04/2026","2","2"
"412175","RESERVA DO IGUAÇU","PR","04/2026","30","44"
"412627","SAUDADE DO IGUAÇU","PR","04/2026","0","0"
"410395","CAMPINA DO SIMÃO","PR","04/2026","1","1"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","04/2026","3","5"
"411585","MERCEDES","PR","04/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","04/2026","14","20"
"412800","UBIRATÃ","PR","04/2026","0","0"
"411450","MANOEL RIBAS","PR","04/2026","3","5"
"410690","CURITIBA","PR","04/2026","9","17"
"411370","LONDRINA","PR","04/2026","2","2"
"411980","PLANALTO","PR","04/2026","1","1"
"410180","ARAUCÁRIA","PR","04/2026","2","2"
"411180","JACAREZINHO","PR","04/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","04/2026","1","1"
"412550","SÃO JOSÉ DOS PINHAIS","PR","04/2026","13","18"
"411010","IMBITUVA","PR","04/2026","1","1"
"411780","PALMITAL","PR","04/2026","0","0"
"412240","ROLÂNDIA","PR","04/2026","1","1"
"411300","JUSSARA","PR","04/2026","0","0"
"410712","DIAMANTE DO SUL","PR","04/2026","0","0"
"411210","JANDAIA DO SUL","PR","04/2026","0","0"
"412690","TAPIRA","PR","04/2026","1","1"
"410510","CENTENÁRIO DO SUL","PR","04/2026","0","0"
"411545","MARQUINHO","PR","04/2026","3","3"
"412740","TERRA ROXA","PR","04/2026","1","1"
"411530","MARIÓPOLIS","PR","04/2026","0","0"
"411820","PARANAGUÁ","PR","04/2026","1","1"
"411130","ITAÚNA DO SUL","PR","04/2026","0","0"
"410765","FAZENDA RIO GRANDE","PR","04/2026","3","4"
"411430","MANDIRITUBA","PR","04/2026","0","0"
"410430","CAMPO MOURÃO","PR","04/2026","0","0"
"411520","MARINGÁ","PR","04/2026","2","2"
"411573","MATO RICO","PR","04/2026","1","1"
"411950","PIRAQUARA","PR","04/2026","4","7"
"411725","NOVA PRATA DO IGUAÇU","PR","04/2026","0","0"
"410840","FRANCISCO BELTRÃO","PR","04/2026","1","1"
"412520","SÃO JORGE DOESTE","PR","04/2026","1","1"
"410440","CÂNDIDO DE ABREU","PR","04/2026","0","0"
"410100","AMPÉRE","PR","04/2026","0","0"
"410420","CAMPO LARGO","PR","04/2026","1","1"
"412370","SANTA ISABEL DO IVAÍ","PR","04/2026","0","0"
"412667","TAMARANA","PR","04/2026","0","0"
"412060","PRUDENTÓPOLIS","PR","04/2026","1","1"
"412100","QUERÊNCIA DO NORTE","PR","04/2026","0","0"
"410305","BOA VISTA DA APARECIDA","PR","04/2026","1","1"
"412090","QUEDAS DO IGUAÇU","PR","04/2026","1","1"
"410040","ALMIRANTE TAMANDARÉ","PR","04/2026","1","1"
"410580","COLOMBO","PR","04/2026","1","1"
"411560","MATELÂNDIA","PR","04/2026","0","0"
"411080","IRETAMA","PR","04/2026","0","0"
"410480","CASCAVEL","PR","04/2026","5","6"
"412710","TELÊMACO BORBA","PR","04/2026","2","2"
"410230","BALSA NOVA","PR","04/2026","0","0"
"410020","ADRIANÓPOLIS","PR","04/2026","5","5"
"411960","PITANGA","PR","04/2026","0","0"
"410650","CORONEL VIVIDA","PR","04/2026","1","1"
"410850","GENERAL CARNEIRO","PR","04/2026","1","1"
"411990","PONTA GROSSA","PR","04/2026","8","13"
"411570","MATINHOS","PR","04/2026","1","2"
"410550","CIANORTE","PR","04/2026","0","0"
"410140","APUCARANA","PR","04/2026","1","1"
"412635","SERRANÓPOLIS DO IGUAÇU","PR","04/2026","1","1"
"410150","ARAPONGAS","PR","04/2026","1","1"
"411350","LOANDA","PR","04/2026","0","0"
"412625","SARANDI","PR","04/2026","0","0"
"411680","NOVA CANTU","PR","04/2026","1","1"
"411250","JARDIM ALEGRE","PR","04/2026","2","2"
"411270","JATAIZINHO","PR","04/2026","0","0"
"411680","NOVA CANTU","PR","03/2026","1","1"
"411250","JARDIM ALEGRE","PR","03/2026","1","1"
"411010","IMBITUVA","PR","03/2026","1","1"
"411300","JUSSARA","PR","03/2026","0","0"
"410580","COLOMBO","PR","03/2026","1","1"
"411370","LONDRINA","PR","03/2026","2","2"
"412090","QUEDAS DO IGUAÇU","PR","03/2026","1","1"
"410305","BOA VISTA DA APARECIDA","PR","03/2026","1","1"
"412100","QUERÊNCIA DO NORTE","PR","03/2026","0","0"
"410420","CAMPO LARGO","PR","03/2026","1","1"
"410100","AMPÉRE","PR","03/2026","0","0"
"410765","FAZENDA RIO GRANDE","PR","03/2026","3","4"
"411130","ITAÚNA DO SUL","PR","03/2026","0","0"
"410712","DIAMANTE DO SUL","PR","03/2026","0","0"
"412800","UBIRATÃ","PR","03/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","03/2026","14","20"
"412627","SAUDADE DO IGUAÇU","PR","03/2026","0","0"
"410395","CAMPINA DO SIMÃO","PR","03/2026","1","1"
"411990","PONTA GROSSA","PR","03/2026","8","13"
"410850","GENERAL CARNEIRO","PR","03/2026","1","1"
"411430","MANDIRITUBA","PR","03/2026","0","0"
"412625","SARANDI","PR","03/2026","0","0"
"411585","MERCEDES","PR","03/2026","0","0"
"411780","PALMITAL","PR","03/2026","0","0"
"410430","CAMPO MOURÃO","PR","03/2026","0","0"
"412667","TAMARANA","PR","03/2026","1","1"
"412300","SALTO DO LONTRA","PR","03/2026","1","1"
"412217","RIO BRANCO DO IVAÍ","PR","03/2026","1","1"
"410140","APUCARANA","PR","03/2026","2","2"
"411580","MEDIANEIRA","PR","03/2026","0","0"
"410180","ARAUCÁRIA","PR","03/2026","2","2"
"410040","ALMIRANTE TAMANDARÉ","PR","03/2026","1","1"
"412550","SÃO JOSÉ DOS PINHAIS","PR","03/2026","12","17"
"410440","CÂNDIDO DE ABREU","PR","03/2026","0","0"
"411545","MARQUINHO","PR","03/2026","3","3"
"411573","MATO RICO","PR","03/2026","1","1"
"410940","GUARAPUAVA","PR","03/2026","2","4"
"410650","CORONEL VIVIDA","PR","03/2026","1","1"
"410510","CENTENÁRIO DO SUL","PR","03/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","03/2026","2","2"
"411180","JACAREZINHO","PR","03/2026","0","0"
"411350","LOANDA","PR","03/2026","0","0"
"411930","PINHÃO","PR","03/2026","0","0"
"412710","TELÊMACO BORBA","PR","03/2026","2","2"
"410230","BALSA NOVA","PR","03/2026","0","0"
"410020","ADRIANÓPOLIS","PR","03/2026","7","7"
"411570","MATINHOS","PR","03/2026","1","2"
"410150","ARAPONGAS","PR","03/2026","1","1"
"411960","PITANGA","PR","03/2026","0","0"
"410550","CIANORTE","PR","03/2026","0","0"
"411915","PINHAIS","PR","03/2026","2","2"
"412810","UMUARAMA","PR","03/2026","1","1"
"410442","CANDÓI","PR","03/2026","0","0"
"411450","MANOEL RIBAS","PR","03/2026","3","5"
"410690","CURITIBA","PR","03/2026","9","17"
"412240","ROLÂNDIA","PR","03/2026","1","1"
"411210","JANDAIA DO SUL","PR","03/2026","0","0"
"411980","PLANALTO","PR","03/2026","1","1"
"412690","TAPIRA","PR","03/2026","1","1"
"412740","TERRA ROXA","PR","03/2026","2","2"
"411530","MARIÓPOLIS","PR","03/2026","0","0"
"411820","PARANAGUÁ","PR","03/2026","1","1"
"411520","MARINGÁ","PR","03/2026","2","2"
"411950","PIRAQUARA","PR","03/2026","5","8"
"411725","NOVA PRATA DO IGUAÇU","PR","03/2026","0","0"
"410840","FRANCISCO BELTRÃO","PR","03/2026","1","1"
"410753","ENTRE RIOS DO OESTE","PR","03/2026","0","0"
"412370","SANTA ISABEL DO IVAÍ","PR","03/2026","0","0"
"411560","MATELÂNDIA","PR","03/2026","0","0"
"411080","IRETAMA","PR","03/2026","0","0"
"412060","PRUDENTÓPOLIS","PR","03/2026","1","1"
"410480","CASCAVEL","PR","03/2026","7","9"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","03/2026","3","5"
"412770","TOLEDO","PR","03/2026","0","0"
"412175","RESERVA DO IGUAÇU","PR","03/2026","32","49"
"411950","PIRAQUARA","PR","02/2026","5","8"
"411080","IRETAMA","PR","02/2026","0","0"
"410690","CURITIBA","PR","02/2026","10","18"
"411450","MANOEL RIBAS","PR","02/2026","3","5"
"410940","GUARAPUAVA","PR","02/2026","2","4"
"412550","SÃO JOSÉ DOS PINHAIS","PR","02/2026","13","19"
"411130","ITAÚNA DO SUL","PR","02/2026","1","1"
"410442","CANDÓI","PR","02/2026","0","0"
"411930","PINHÃO","PR","02/2026","0","0"
"410395","CAMPINA DO SIMÃO","PR","02/2026","1","1"
"411585","MERCEDES","PR","02/2026","0","0"
"411725","NOVA PRATA DO IGUAÇU","PR","02/2026","0","0"
"412300","SALTO DO LONTRA","PR","02/2026","1","1"
"411370","LONDRINA","PR","02/2026","2","2"
"411560","MATELÂNDIA","PR","02/2026","0","0"
"410550","CIANORTE","PR","02/2026","0","0"
"411350","LOANDA","PR","02/2026","0","0"
"410430","CAMPO MOURÃO","PR","02/2026","2","2"
"411300","JUSSARA","PR","02/2026","0","0"
"410180","ARAUCÁRIA","PR","02/2026","2","2"
"411430","MANDIRITUBA","PR","02/2026","0","0"
"412090","QUEDAS DO IGUAÇU","PR","02/2026","1","1"
"410650","CORONEL VIVIDA","PR","02/2026","1","1"
"410305","BOA VISTA DA APARECIDA","PR","02/2026","1","1"
"410580","COLOMBO","PR","02/2026","1","1"
"410990","ICARAÍMA","PR","02/2026","1","1"
"412800","UBIRATÃ","PR","02/2026","0","0"
"410140","APUCARANA","PR","02/2026","2","2"
"411520","MARINGÁ","PR","02/2026","3","3"
"410765","FAZENDA RIO GRANDE","PR","02/2026","4","6"
"411580","MEDIANEIRA","PR","02/2026","0","0"
"410080","ALVORADA DO SUL","PR","02/2026","1","1"
"411960","PITANGA","PR","02/2026","0","0"
"410510","CENTENÁRIO DO SUL","PR","02/2026","0","0"
"412100","QUERÊNCIA DO NORTE","PR","02/2026","0","0"
"411820","PARANAGUÁ","PR","02/2026","1","1"
"410830","FOZ DO IGUAÇU","PR","02/2026","17","28"
"412627","SAUDADE DO IGUAÇU","PR","02/2026","0","0"
"411915","PINHAIS","PR","02/2026","2","2"
"411573","MATO RICO","PR","02/2026","1","1"
"410020","ADRIANÓPOLIS","PR","02/2026","8","8"
"410712","DIAMANTE DO SUL","PR","02/2026","0","0"
"410304","BOA VENTURA DE SÃO ROQUE","PR","02/2026","0","0"
"412370","SANTA ISABEL DO IVAÍ","PR","02/2026","0","0"
"411780","PALMITAL","PR","02/2026","0","0"
"412740","TERRA ROXA","PR","02/2026","1","1"
"412710","TELÊMACO BORBA","PR","02/2026","1","1"
"412217","RIO BRANCO DO IVAÍ","PR","02/2026","1","1"
"410840","FRANCISCO BELTRÃO","PR","02/2026","1","1"
"412770","TOLEDO","PR","02/2026","0","0"
"412060","PRUDENTÓPOLIS","PR","02/2026","1","1"
"411545","MARQUINHO","PR","02/2026","4","4"
"410230","BALSA NOVA","PR","02/2026","0","0"
"410753","ENTRE RIOS DO OESTE","PR","02/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","02/2026","2","2"
"410100","AMPÉRE","PR","02/2026","0","0"
"411710","NOVA LONDRINA","PR","02/2026","1","1"
"410260","BARRACÃO","PR","02/2026","1","1"
"410150","ARAPONGAS","PR","02/2026","1","1"
"412810","UMUARAMA","PR","02/2026","1","1"
"411180","JACAREZINHO","PR","02/2026","0","0"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","02/2026","3","5"
"412625","SARANDI","PR","02/2026","0","0"
"410040","ALMIRANTE TAMANDARÉ","PR","02/2026","1","1"
"411210","JANDAIA DO SUL","PR","02/2026","0","0"
"410480","CASCAVEL","PR","02/2026","9","11"
"410850","GENERAL CARNEIRO","PR","02/2026","1","1"
"410880","GUAÍRA","PR","02/2026","0","0"
"411980","PLANALTO","PR","02/2026","1","1"
"412175","RESERVA DO IGUAÇU","PR","02/2026","34","53"
"411990","PONTA GROSSA","PR","02/2026","9","16"
"412667","TAMARANA","PR","02/2026","1","1"
"412240","ROLÂNDIA","PR","02/2026","1","1"
"411570","MATINHOS","PR","02/2026","1","2"
"410440","CÂNDIDO DE ABREU","PR","02/2026","0","0"
"411250","JARDIM ALEGRE","PR","02/2026","1","1"
"411680","NOVA CANTU","PR","02/2026","1","1"
"411680","NOVA CANTU","PR","01/2026","1","1"
"411250","JARDIM ALEGRE","PR","01/2026","1","1"
"410680","CRUZ MACHADO","PR","01/2026","0","0"
"410830","FOZ DO IGUAÇU","PR","01/2026","17","28"
"412090","QUEDAS DO IGUAÇU","PR","01/2026","1","1"
"411915","PINHAIS","PR","01/2026","2","2"
"411980","PLANALTO","PR","01/2026","1","1"
"411710","NOVA LONDRINA","PR","01/2026","1","1"
"411210","JANDAIA DO SUL","PR","01/2026","0","0"
"410850","GENERAL CARNEIRO","PR","01/2026","1","1"
"411080","IRETAMA","PR","01/2026","0","0"
