Data,Familias Beneficiarias BS em pobreza,Familias Beneficiarias BS de baixa renda,Familias Beneficiarias BS renda per capita maior meio salario minimo,Beneficiarias BF feminino 0 a 3 anos,Beneficiarias BF feminino 4 a 6 anos,Beneficiarias BF feminino 7 a 15 anos,Beneficiarias BF feminino 16 a 17 anos,Beneficiarias BF feminino 18 a 24 anos,Beneficiarias BF feminino 25 a 34 anos,Beneficiarias BF feminino 35 a 39 anos,Beneficiarias BF feminino 40 a 44 anos,Beneficiarias BF feminino 45 a 49 anos,Beneficiarias BF feminino 50 a 54 anos,Beneficiarias BF feminino 55 a 59 anos,Beneficiarias BF feminino 60 a 64 anos,Beneficiarias BF feminino acima de 64 anos,Beneficiarias BF masculino 0 a 3 anos,Beneficiarias BF masculino 4 a 6 anos,Beneficiarias BF masculino 7 a 15 anos,Beneficiarias BF masculino 16 a 17 anos,Beneficiarias BF masculino 18 a 24 anos,Beneficiarias BF masculino 25 a 34 anos,Beneficiarias BF masculino 35 a 39 anos,Beneficiarias BF masculino 40 a 44 anos,Beneficiarias BF masculino 45 a 49 anos,Beneficiarias BF masculino 50 a 54 anos,Beneficiarias BF masculino 55 a 59 anos,Beneficiarias BF masculino 60 a 64 anos,Beneficiarias BF masculino acima de 64 anos,Quantidade de Benefícios de Renda de Cidadania (BRC),Quantidade de Benefícios Complementares (BCO),Quantidade de Benefícios Primeira Infância (BPI) PBF,Quantidade de Benefícios Variáveis Familiares Gestante (BVG),Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),Quantidade de Benefícios Variáveis Familiares Criança (BV),Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,Quantidade de Benefícios Variáveis Familiares,Quantidade de Benefícios Extraordinários de Transição (BET),Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso
06/2023,1466511.0,164548.0,0.0,86877.0,73546.0,191253.0,34519.0,101723.0,176567.0,75125.0,62473.0,46488.0,37895.0,30025.0,19989.0,6039.0,90725.0,77806.0,199080.0,35065.0,56089.0,60672.0,31075.0,31814.0,28352.0,26388.0,25126.0,19904.0,6440.0,1631054.0,535374.0,323285.0,37389.0,,391749.0,68169.0,459918.0,497307.0,6614.0,
06/2024,1330911.0,382440.0,0.0,91137.0,77591.0,199645.0,34649.0,106774.0,188166.0,80194.0,66262.0,50713.0,40384.0,32307.0,21611.0,5744.0,95267.0,81918.0,208738.0,34941.0,59879.0,62440.0,31387.0,32047.0,29193.0,27467.0,26904.0,21314.0,6676.0,1713327.0,558969.0,338216.0,41008.0,12506.0,410765.0,83723.0,494488.0,548002.0,5199.0,
06/2025,1232126.0,426429.0,0.0,84445.0,76091.0,198656.0,33785.0,97614.0,187264.0,80099.0,64273.0,49901.0,39906.0,32343.0,22309.0,5965.0,88672.0,80378.0,207306.0,34353.0,54452.0,56717.0,29259.0,29411.0,27430.0,25897.0,25197.0,20792.0,6688.0,1658552.0,545353.0,318124.0,22437.0,9996.0,408315.0,83409.0,491724.0,524157.0,,
06/2026,1214553.0,332207.0,7.0,81196.0,71946.0,187132.0,31926.0,87448.0,178898.0,75574.0,60152.0,45963.0,36584.0,28822.0,20499.0,5909.0,85252.0,75562.0,194161.0,32229.0,46066.0,51019.0,26799.0,27110.0,25339.0,24023.0,23108.0,18738.0,5460.0,1546102.0,519739.0,306304.0,23417.0,11238.0,383242.0,76413.0,459655.0,494310.0,,
07/2015,,,,64566.0,60294.0,,,,,,,,,,,,67130.0,62950.0,,,,,,,,,,,,,,,,,,,,,,
07/2016,,,,72310.0,59160.0,,,,,,,,,,,,76303.0,61892.0,,,,,,,,,,,,,,,,,,,,,,
07/2017,,,,66268.0,52078.0,143332.0,27244.0,80972.0,113310.0,52514.0,37942.0,27415.0,20436.0,13340.0,7712.0,3537.0,70522.0,54245.0,149123.0,28149.0,51555.0,47001.0,25792.0,22735.0,19141.0,15484.0,12072.0,7899.0,3805.0,,,,,,,,,,,
07/2018,,,,70680.0,54060.0,142511.0,26799.0,85590.0,118843.0,52826.0,39299.0,27870.0,21926.0,15032.0,9133.0,4509.0,74586.0,56388.0,147776.0,27498.0,52709.0,49419.0,25965.0,23236.0,19436.0,16661.0,13318.0,9495.0,4706.0,,,,,,,,,,,
07/2019,,,,67142.0,53425.0,137482.0,24929.0,80179.0,116899.0,50709.0,38998.0,28117.0,22715.0,16076.0,10002.0,4702.0,70367.0,56049.0,142590.0,25581.0,49184.0,47221.0,24610.0,22598.0,19402.0,16951.0,14125.0,10381.0,4902.0,,,,,,,,,,,
07/2020,,,,64060.0,56083.0,140151.0,24443.0,81451.0,122076.0,51753.0,40146.0,29265.0,23767.0,17180.0,10899.0,4926.0,66875.0,59141.0,145692.0,24938.0,47949.0,49279.0,25217.0,23396.0,20133.0,17902.0,15132.0,11291.0,5190.0,,,,,,,,,,,
